grant_title,id,organization,total_amount,group,Grant start date,start_year
新北市,1,蘿蔔,81.92,low,2/4/2010,2015
台北市,2,蘿蔔,59.68,low,8/3/2009,2015
桃園市,3,蘿蔔,15.35,low,11/12/2009,2015
台中市,4,蘿蔔,74.1,low,3/11/2010,2015
台南市,5,蘿蔔,201.18,low,10/12/2009,2015
高雄市,6,蘿蔔,409.39,low,6/30/2009,2015
宜蘭縣,7,蘿蔔,30.17,low,9/24/2009,2015
新竹縣,8,蘿蔔,48.73,low,10/29/2009,2015
苗栗縣,9,蘿蔔,82.17,low,11/16/2009,2015
彰化縣,10,蘿蔔,339.65,low,10/28/2009,2015
南投縣,11,蘿蔔,99.75,low,11/2/2009,2015
雲林縣,12,蘿蔔,712.72,medium,11/2/2009,2015
嘉義縣,13,蘿蔔,175.78,low,11/2/2009,2015
屏東縣,14,蘿蔔,41.28,low,11/2/2009,2015
台東縣,15,蘿蔔,22.17,low,10/28/2009,2015
花蓮縣,16,蘿蔔,53.05,low,11/10/2009,2015
澎湖縣,17,蘿蔔,5.48,low,11/13/2009,2015
基隆市,18,蘿蔔,0.89,low,11/1/2009,2015
新竹市,19,蘿蔔,2.6,low,3/24/2010,2015
嘉義市,20,蘿蔔,0,low,10/29/2009,2015
金門縣,21,蘿蔔,1.64,low,11/4/2009,2015
連江縣,22,蘿蔔,0,low,10/1/2008,2015
新北市,23,胡蘿蔔,8.17,low,10/30/2009,2015
台北市,24,胡蘿蔔,11.6,low,1/28/2010,2015
桃園市,25,胡蘿蔔,0.77,low,11/17/2009,2015
台中市,26,胡蘿蔔,20.26,low,5/13/2009,2015
台南市,27,胡蘿蔔,634.87,medium,3/1/2008,2015
高雄市,28,胡蘿蔔,2.86,low,10/1/2009,2015
宜蘭縣,29,胡蘿蔔,1.61,low,4/30/2010,2015
新竹縣,30,胡蘿蔔,1.77,low,3/18/2010,2015
苗栗縣,31,胡蘿蔔,0.2,low,11/4/2009,2015
彰化縣,32,胡蘿蔔,597.49,medium,6/19/2009,2015
南投縣,33,胡蘿蔔,0,low,7/22/2009,2015
