年度,地區別,蔬菜類別,種植面積,收穫面積,每公頃平均產量,產量,,,,
2015,新北市,蘿蔔,81.92,81.92,30553.38135,2502.933,,,,
2015,台北市,蘿蔔,59.68,59.68,9414.024799,561.829,,,,
2015,桃園市,蘿蔔,15.35,15.35,19872.3127,305.04,,,,
2015,台中市,蘿蔔,74.1,74.1,32040.24291,2374.182,,,,
2015,台南市,蘿蔔,201.18,201.18,49297.02754,9917.576,,,,
2015,高雄市,蘿蔔,409.39,409.39,37621.00442,15401.663,,,,
2015,宜蘭縣,蘿蔔,30.17,30.17,28263.34107,852.705,,,,
2015,新竹縣,蘿蔔,48.73,48.73,19792.0788,964.468,,,,
2015,苗栗縣,蘿蔔,82.17,82.17,23665.09675,1944.561,,,,
2015,彰化縣,蘿蔔,339.65,339.65,36970.88179,12557.16,,,,
2015,南投縣,蘿蔔,99.75,99.75,15728.82206,1568.95,,,,
2015,雲林縣,蘿蔔,712.72,712.72,44626.88573,31806.474,,,,
2015,嘉義縣,蘿蔔,181.27,175.78,38927.57993,6842.69,,,,
2015,屏東縣,蘿蔔,41.28,41.28,18511.07074,764.137,,,,
2015,台東縣,蘿蔔,22.17,22.17,22512.17862,499.095,,,,
2015,花蓮縣,蘿蔔,53.05,53.05,13507.16305,716.555,,,,
2015,澎湖縣,蘿蔔,5.48,5.48,9591.058394,52.559,,,,
2015,基隆市,蘿蔔,0.89,0.89,9960.674157,8.865,,,,
2015,新竹市,蘿蔔,2.6,2.6,14178.84615,36.865,,,,
2015,嘉義市,蘿蔔,0,0,0,0,,,,
2015,金門縣,蘿蔔,1.64,1.64,25643.29268,42.055,,,,
2015,連江縣,蘿蔔,0,0,0,0,,,,
2015,新北市,胡蘿蔔,8.17,8.17,16044.92044,131.087,,,,
2015,台北市,胡蘿蔔,11.6,11.6,12677.24138,147.056,,,,
2015,桃園市,胡蘿蔔,0.77,0.77,16337.66234,12.58,,,,
2015,台中市,胡蘿蔔,20.26,20.26,31067.91708,629.436,,,,
2015,台南市,胡蘿蔔,634.87,634.87,64002.71079,40633.401,,,,
2015,高雄市,胡蘿蔔,2.86,2.86,31527.62238,90.169,,,,
2015,宜蘭縣,胡蘿蔔,1.61,1.61,17481.36646,28.145,,,,
2015,新竹縣,胡蘿蔔,1.77,1.77,18203.38983,32.22,,,,
2015,苗栗縣,胡蘿蔔,0.2,0.2,24825,4.965,,,,
2015,彰化縣,胡蘿蔔,597.49,597.49,39628.76366,23677.79,,,,
2015,南投縣,胡蘿蔔,0,0,0,0,,,,
2015,雲林縣,胡蘿蔔,1071.79,1071.79,40490.24529,43397.04,,,,
2015,嘉義縣,胡蘿蔔,1.56,1.56,23301.28205,36.35,,,,
2015,屏東縣,胡蘿蔔,0.18,0.18,16444.44444,2.96,,,,
2015,台東縣,胡蘿蔔,0.09,0.09,14555.55556,1.31,,,,
2015,花蓮縣,胡蘿蔔,1.48,1.48,15966.89189,23.631,,,,
2015,澎湖縣,胡蘿蔔,8.7,8.7,10056.55172,87.492,,,,
2015,基隆市,胡蘿蔔,0,0,0,0,,,,
2015,新竹市,胡蘿蔔,0.33,0.33,14669.69697,4.841,,,,
2015,嘉義市,胡蘿蔔,0,0,0,0,,,,
2015,金門縣,胡蘿蔔,0.64,0.64,24923.4375,15.951,,,,2350.04
2015,連江縣,胡蘿蔔,0,0,0,0,,,,
2015,新北市,其他根菜類,1.12,1.12,15000,16.8,,,,
2015,台北市,其他根菜類,0,0,0,0,,,,
2015,桃園市,其他根菜類,0,0,0,0,,,,
2015,台中市,其他根菜類,3.88,3.88,22709.79381,88.114,,,,
2015,台南市,其他根菜類,40.04,40.04,19753.2967,790.922,,,,
2015,高雄市,其他根菜類,124.42,124.42,18887.96014,2350.04,,,,
2015,宜蘭縣,其他根菜類,2.67,2.67,20737.82772,55.37,,,,
2015,新竹縣,其他根菜類,0,0,0,0,,,,
2015,苗栗縣,其他根菜類,0,0,0,0,,,,
2015,彰化縣,其他根菜類,9.33,9.33,20163.98714,188.13,,,,
2015,南投縣,其他根菜類,0,0,0,0,,,,
2015,雲林縣,其他根菜類,167.85,167.85,28295.92493,4749.471,,,,
2015,嘉義縣,其他根菜類,188.95,188.95,30825.50939,5824.48,,,,
2015,屏東縣,其他根菜類,121.89,121.89,21120.42825,2574.369,,,,
2015,台東縣,其他根菜類,0.2,0.2,9000,1.8,,,,
2015,花蓮縣,其他根菜類,0.04,0.04,14000,0.56,,,,
2015,澎湖縣,其他根菜類,0,0,0,0,,,,
2015,基隆市,其他根菜類,0,0,0,0,,,,
2015,新竹市,其他根菜類,0,0,0,0,,,,
2015,嘉義市,其他根菜類,0,0,0,0,,,,
2015,金門縣,其他根菜類,0,0,0,0,,,,
2015,連江縣,其他根菜類,0,0,0,0,,,,
2015,新北市,薑,6.43,6.43,18552.5661,119.293,,,,
2015,台北市,薑,2.17,2.17,8300,18.011,,,,
2015,桃園市,薑,7.64,7.64,39134.81675,298.99,,,,
2015,台中市,薑,56.52,56.52,17127.84855,968.066,,,,
2015,台南市,薑,2.6,2.6,25623.07692,66.62,,,,
2015,高雄市,薑,32.9,32.9,21337.99392,702.02,,,,
2015,宜蘭縣,薑,48.83,48.83,28651.48474,1399.052,,,,
2015,新竹縣,薑,16.39,16.39,17535.08237,287.4,,,,
2015,苗栗縣,薑,88.29,88.29,22562.01155,1992,,,,
2015,彰化縣,薑,0.36,0.36,17777.77778,6.4,,,,
2015,南投縣,薑,219.66,219.66,35323.591,7759.18,,,,
2015,雲林縣,薑,33.02,33.02,24746.82011,817.14,,,,
2015,嘉義縣,薑,32.21,32.21,37875.19404,1219.96,,,,
2015,屏東縣,薑,10.41,10.41,17303.45821,180.129,,,,
2015,台東縣,薑,274.95,274.95,29567.38316,8129.552,,,,
2015,花蓮縣,薑,29.39,29.39,16510.30963,485.238,,,,
2015,澎湖縣,薑,0,0,0,0,,,,
2015,基隆市,薑,0,0,0,0,,,,
2015,新竹市,薑,0,0,0,0,,,,
2015,嘉義市,薑,1,1,16000,16,,,,
2015,金門縣,薑,0.02,0.02,22100,0.442,,,,
2015,連江縣,薑,0,0,0,0,,,,
2015,新北市,芋,79.65,79.65,11741.56937,935.216,,,,
2015,台北市,芋,3.5,3.5,14114.28571,49.4,,,,
2015,桃園市,芋,2.3,2.3,14591.30435,33.56,,,,
2015,台中市,芋,774.85,774.85,17645.72369,13672.789,,,,
2015,台南市,芋,83.51,83.51,21676.78122,1810.228,,,,
2015,高雄市,芋,61.37,61.37,13871.77774,851.311,,,,
2015,宜蘭縣,芋,25.81,25.81,13773.26618,355.488,,,,
2015,新竹縣,芋,20.29,20.29,14507.14638,294.35,,,,
2015,苗栗縣,芋,576.31,576.31,15738.3266,9070.155,,,,
2015,彰化縣,芋,26.1,26.1,20784.67433,542.48,,,,
2015,南投縣,芋,19.25,19.25,12253.66234,235.883,,,,
2015,雲林縣,芋,77.36,77.36,22709.90176,1756.838,,,,
2015,嘉義縣,芋,40.35,40.35,16388.30235,661.268,,,,
2015,屏東縣,芋,423.86,423.86,15885.62733,6733.282,,,,
2015,台東縣,芋,103.29,103.29,7403.620873,764.72,,,,
2015,花蓮縣,芋,121.65,121.65,15899.89314,1934.222,,,,
2015,澎湖縣,芋,0.19,0.15,6126.666667,0.919,,,,
2015,基隆市,芋,0.04,0.04,9725,0.389,,,,
2015,新竹市,芋,4.32,4.32,13247.68519,57.23,,,,
2015,嘉義市,芋,1.56,1.56,13878.84615,21.651,,,,
